ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
77,"2023-04-25 12:23:04,194",0x41c09c07dbec9c5499c89df287d91a80,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
78,"2023-04-25 12:23:04,386",0x8076b7b9aee55d672d1363608e5a9912,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
79,"2023-04-25 12:23:04,632",0xcd12b88d6c1dc18d04c830b37397796b,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
80,"2023-04-25 12:23:04,881",0xbdda2e85a8a419fa56b44d99fd95ecf9,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
81,"2023-04-25 12:23:05,026",0x6781a56bc517e7d1f57c026a4a0ad736,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
82,"2023-04-25 12:23:05,310",0xa741ff246a54d0b2b90f83efbae50b91,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
83,"2023-04-25 12:23:05,806",0x29efe38c10e47b141f3cef8009cd2078,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
84,"2023-04-25 12:23:06,200",0x5c098c907db9bbef5997b657ab34deec,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
85,"2023-04-25 12:23:06,580",0xea9196d16026853e0da30354744963b9,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
86,"2023-04-25 12:23:06,866",0x4e5ae192217f4e07322ebad9605e241d,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
87,"2023-04-25 12:23:07,282",0x3784664f400f670238db9da2a4091d52,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
88,"2023-04-25 12:23:07,663",0xc272fdae26ab166e884e106450bfed02,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
89,"2023-04-25 12:23:08,122",0x720039f1e9912307f358f8d643ecaac,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
90,"2023-04-25 12:23:08,349",0xababf7c77c18cb3cb473cfdce9a16e60,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
91,"2023-04-25 12:23:08,565",0x776cef28c86afa62039014792eae390c,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
92,"2023-04-25 12:23:08,908",0xf82b951283b8aa8339aa71082571adfd,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
93,"2023-04-25 12:23:09,430",0xcdb1be6f2c2527bb0df3113016383166,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
94,"2023-04-25 12:23:09,834",0x90316a94ff952bc92690196f5527a950,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
95,"2023-04-25 12:23:10,340",0xffa75710e01225ce36802371871bcd67,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
96,"2023-04-25 12:23:10,478",0x7090a039a41ca89d188d81efc69a3ad3,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
97,"2023-04-25 12:23:10,700",0xe3dbb4c678d007a9b797dce16bb06331,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
98,"2023-04-25 12:23:10,847",0x5017053bc75d666e90dffa610c291cac,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
99,"2023-04-25 12:23:10,999",0x8cfd06a3058bac56020e932de75c624b,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
100,"2023-04-25 12:23:11,141",0x3619f767d0d92dd87d719afd52e1b6dc,Gather User Address,Gather User Address,"['address.street', 'address.number', 'address.postcode']",['personal data access'],['GDPR-6-1-b']
