ident:eid,time:timestamp,case:concept:name,concept:name,message,tilt:data_disclosed,tilt:purposes,tilt:legal_bases
126,"2023-04-23 17:05:14,325",0x1574aa40dd85dd6afb05ede71a2a6c35,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
127,"2023-04-23 17:05:14,365",0x1574aa40dd85dd6afb05ede71a2a6c35,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
128,"2023-04-23 17:05:14,747",0xfd0cfa17398d7cc7760577ee7fc3a1d0,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
129,"2023-04-23 17:05:14,778",0xfd0cfa17398d7cc7760577ee7fc3a1d0,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
130,"2023-04-23 17:05:15,222",0x4f683e01473d6a2a7f6217ebc91f33a3,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
131,"2023-04-23 17:05:15,251",0x4f683e01473d6a2a7f6217ebc91f33a3,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
132,"2023-04-23 17:05:15,618",0x37786e3024f8377956fcf400ebbe9084,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
133,"2023-04-23 17:05:15,646",0x37786e3024f8377956fcf400ebbe9084,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
134,"2023-04-23 17:05:15,991",0x9b90a3afa287e20eaecd5805fabf8735,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
135,"2023-04-23 17:05:16,022",0x9b90a3afa287e20eaecd5805fabf8735,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
136,"2023-04-23 17:05:16,369",0xcbfe15e7c9eb21bd54978198312e7d3a,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
137,"2023-04-23 17:05:16,399",0xcbfe15e7c9eb21bd54978198312e7d3a,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
138,"2023-04-23 17:05:16,743",0x6c497a917df9267ac2990b31ef781ca4,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
139,"2023-04-23 17:05:16,772",0x6c497a917df9267ac2990b31ef781ca4,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
140,"2023-04-23 17:05:16,895",0x8cf21b98a85185a4ced34a66d713100e,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
141,"2023-04-23 17:05:16,932",0x8cf21b98a85185a4ced34a66d713100e,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
142,"2023-04-23 17:05:17,174",0x755825a9219dbcfd442948acdabefe0a,Process User Request,Process User Request,['user.id'],['personal data access'],['GDPR-6-1-b']
143,"2023-04-23 17:05:17,208",0x755825a9219dbcfd442948acdabefe0a,Send Data to User,Send Data to User,['user.id'],['personal data access'],['GDPR-6-1-b']
